#N=10000 sum of ti-dists depending on pacement of r on and axis
dist-from-0 ti-dist-sum-3 ti-dist-sum-4 ti-dist-sum-5
1.9800e+001 1.7100e+009 1.5578e+009 1.4171e+009
1.9900e+001 1.7098e+009 1.5576e+009 1.4170e+009
2.0000e+001 1.7095e+009 1.5574e+009 1.4168e+009
2.0100e+001 1.7093e+009 1.5573e+009 1.4167e+009
2.0200e+001 1.7091e+009 1.5571e+009 1.4166e+009
2.0300e+001 1.7089e+009 1.5569e+009 1.4164e+009
2.0400e+001 1.7087e+009 1.5568e+009 1.4163e+009
2.0500e+001 1.7085e+009 1.5566e+009 1.4162e+009
2.0600e+001 1.7083e+009 1.5565e+009 1.4161e+009
2.0700e+001 1.7082e+009 1.5563e+009 1.4159e+009
2.0800e+001 1.7080e+009 1.5562e+009 1.4158e+009
2.0900e+001 1.7078e+009 1.5560e+009 1.4157e+009
2.1000e+001 1.7076e+009 1.5559e+009 1.4156e+009
2.1100e+001 1.7074e+009 1.5557e+009 1.4155e+009
2.1200e+001 1.7072e+009 1.5556e+009 1.4153e+009
2.1300e+001 1.7070e+009 1.5554e+009 1.4152e+009
2.1400e+001 1.7069e+009 1.5553e+009 1.4151e+009
2.1500e+001 1.7067e+009 1.5551e+009 1.4150e+009
2.1600e+001 1.7065e+009 1.5550e+009 1.4149e+009
2.1700e+001 1.7063e+009 1.5549e+009 1.4148e+009
2.1800e+001 1.7062e+009 1.5547e+009 1.4146e+009
2.1900e+001 1.7060e+009 1.5546e+009 1.4145e+009
2.2000e+001 1.7058e+009 1.5545e+009 1.4144e+009
2.2100e+001 1.7056e+009 1.5543e+009 1.4143e+009
2.2200e+001 1.7055e+009 1.5542e+009 1.4142e+009
2.2300e+001 1.7053e+009 1.5541e+009 1.4141e+009
2.2400e+001 1.7051e+009 1.5539e+009 1.4140e+009
2.2500e+001 1.7050e+009 1.5538e+009 1.4139e+009
2.2600e+001 1.7048e+009 1.5537e+009 1.4138e+009
2.2700e+001 1.7047e+009 1.5535e+009 1.4137e+009
2.2800e+001 1.7045e+009 1.5534e+009 1.4136e+009
2.2900e+001 1.7043e+009 1.5533e+009 1.4135e+009
2.3000e+001 1.7042e+009 1.5532e+009 1.4134e+009
2.3100e+001 1.7040e+009 1.5530e+009 1.4133e+009
2.3200e+001 1.7039e+009 1.5529e+009 1.4132e+009
2.3300e+001 1.7037e+009 1.5528e+009 1.4131e+009
2.3400e+001 1.7036e+009 1.5527e+009 1.4130e+009
2.3500e+001 1.7034e+009 1.5526e+009 1.4129e+009
2.3600e+001 1.7033e+009 1.5524e+009 1.4128e+009
2.3700e+001 1.7031e+009 1.5523e+009 1.4127e+009
2.3800e+001 1.7030e+009 1.5522e+009 1.4126e+009
2.3900e+001 1.7028e+009 1.5521e+009 1.4125e+009
2.4000e+001 1.7027e+009 1.5520e+009 1.4124e+009
2.4100e+001 1.7025e+009 1.5519e+009 1.4123e+009
2.4200e+001 1.7024e+009 1.5517e+009 1.4122e+009
2.4300e+001 1.7023e+009 1.5516e+009 1.4121e+009
2.4400e+001 1.7021e+009 1.5515e+009 1.4120e+009
2.4500e+001 1.7020e+009 1.5514e+009 1.4119e+009
2.4600e+001 1.7019e+009 1.5513e+009 1.4119e+009
2.4700e+001 1.7017e+009 1.5512e+009 1.4118e+009
2.4800e+001 1.7016e+009 1.5511e+009 1.4117e+009
2.4900e+001 1.7014e+009 1.5510e+009 1.4116e+009
2.5000e+001 1.7013e+009 1.5509e+009 1.4115e+009
2.5100e+001 1.7012e+009 1.5508e+009 1.4114e+009
2.5200e+001 1.7011e+009 1.5507e+009 1.4113e+009
2.5300e+001 1.7009e+009 1.5506e+009 1.4112e+009
2.5400e+001 1.7008e+009 1.5505e+009 1.4112e+009
2.5500e+001 1.7007e+009 1.5504e+009 1.4111e+009
2.5600e+001 1.7005e+009 1.5503e+009 1.4110e+009
2.5700e+001 1.7004e+009 1.5502e+009 1.4109e+009
2.5800e+001 1.7003e+009 1.5501e+009 1.4108e+009
2.5900e+001 1.7002e+009 1.5500e+009 1.4108e+009
2.6000e+001 1.7000e+009 1.5499e+009 1.4107e+009
2.6100e+001 1.6999e+009 1.5498e+009 1.4106e+009
2.6200e+001 1.6998e+009 1.5497e+009 1.4105e+009
2.6300e+001 1.6997e+009 1.5496e+009 1.4104e+009
2.6400e+001 1.6996e+009 1.5495e+009 1.4104e+009
2.6500e+001 1.6994e+009 1.5494e+009 1.4103e+009
2.6600e+001 1.6993e+009 1.5493e+009 1.4102e+009
2.6700e+001 1.6992e+009 1.5492e+009 1.4101e+009
2.6800e+001 1.6991e+009 1.5491e+009 1.4101e+009
2.6900e+001 1.6990e+009 1.5490e+009 1.4100e+009
2.7000e+001 1.6989e+009 1.5489e+009 1.4099e+009
2.7100e+001 1.6988e+009 1.5488e+009 1.4098e+009
2.7200e+001 1.6986e+009 1.5487e+009 1.4098e+009
2.7300e+001 1.6985e+009 1.5487e+009 1.4097e+009
2.7400e+001 1.6984e+009 1.5486e+009 1.4096e+009
2.7500e+001 1.6983e+009 1.5485e+009 1.4095e+009
2.7600e+001 1.6982e+009 1.5484e+009 1.4095e+009
2.7700e+001 1.6981e+009 1.5483e+009 1.4094e+009
2.7800e+001 1.6980e+009 1.5482e+009 1.4093e+009
2.7900e+001 1.6979e+009 1.5481e+009 1.4093e+009
2.8000e+001 1.6978e+009 1.5481e+009 1.4092e+009
2.8100e+001 1.6977e+009 1.5480e+009 1.4091e+009
2.8200e+001 1.6976e+009 1.5479e+009 1.4091e+009
2.8300e+001 1.6975e+009 1.5478e+009 1.4090e+009
2.8400e+001 1.6974e+009 1.5477e+009 1.4089e+009
2.8500e+001 1.6973e+009 1.5476e+009 1.4089e+009
2.8600e+001 1.6972e+009 1.5476e+009 1.4088e+009
2.8700e+001 1.6971e+009 1.5475e+009 1.4087e+009
2.8800e+001 1.6970e+009 1.5474e+009 1.4087e+009
2.8900e+001 1.6969e+009 1.5473e+009 1.4086e+009
2.9000e+001 1.6968e+009 1.5472e+009 1.4085e+009
2.9100e+001 1.6967e+009 1.5472e+009 1.4085e+009
2.9200e+001 1.6966e+009 1.5471e+009 1.4084e+009
2.9300e+001 1.6965e+009 1.5470e+009 1.4083e+009
2.9400e+001 1.6964e+009 1.5469e+009 1.4083e+009
2.9500e+001 1.6963e+009 1.5469e+009 1.4082e+009
2.9600e+001 1.6962e+009 1.5468e+009 1.4082e+009
2.9700e+001 1.6961e+009 1.5467e+009 1.4081e+009
2.9800e+001 1.6960e+009 1.5466e+009 1.4080e+009
2.9900e+001 1.6959e+009 1.5466e+009 1.4080e+009
3.0000e+001 1.6958e+009 1.5465e+009 1.4079e+009
3.0100e+001 1.6957e+009 1.5464e+009 1.4078e+009
3.0200e+001 1.6956e+009 1.5463e+009 1.4078e+009
3.0300e+001 1.6955e+009 1.5463e+009 1.4077e+009
3.0400e+001 1.6955e+009 1.5462e+009 1.4077e+009
3.0500e+001 1.6954e+009 1.5461e+009 1.4076e+009
3.0600e+001 1.6953e+009 1.5461e+009 1.4076e+009
3.0700e+001 1.6952e+009 1.5460e+009 1.4075e+009
3.0800e+001 1.6951e+009 1.5459e+009 1.4074e+009
3.0900e+001 1.6950e+009 1.5458e+009 1.4074e+009
3.1000e+001 1.6949e+009 1.5458e+009 1.4073e+009
3.1100e+001 1.6948e+009 1.5457e+009 1.4073e+009
3.1200e+001 1.6948e+009 1.5456e+009 1.4072e+009
3.1300e+001 1.6947e+009 1.5456e+009 1.4072e+009
